flight_number,time_GMT,x_m,y_m,z_m,vx_mps,vy_mps,vz_mps
FL001,11:56:42,-3814.4,4680.1,1386.2,116.09,-41.87,-12.4
FL002,12:02:15,-9276.6,-1944.1,5725.5,76.74,19.96,-58.78
FL003,11:59:30,10192.6,-1493.0,5217.1,172.25,18.7,-65.33
FL004,11:56:46,9056.1,-4872.2,7081.0,-61.39,76.35,-110.96
FL005,11:56:11,-5809.4,939.4,6013.0,69.79,-11.94,-76.44
FL006,11:55:20,3839.6,-5568.7,6526.1,14.67,70.04,-82.08
FL007,11:57:01,7613.3,-412.8,2615.3,175.18,3.98,-25.2
FL008,12:02:46,1324.8,511.7,1830.8,-64.66,-5.21,-18.63
FL009,11:58:34,711.6,-2561.5,6129.6,-67.18,22.62,-54.13
FL010,12:00:30,-6195.5,1090.0,6551.3,-47.95,-12.34,-74.17
FL011,12:02:38,-9765.5,-5634.0,7928.8,-169.91,83.87,-118.03
FL012,11:56:27,9533.2,-5551.8,3594.6,-42.06,54.01,-34.97
FL013,12:01:12,9610.0,3871.2,3290.1,-60.73,-36.64,-31.14
FL014,11:56:39,3194.4,-1677.7,6323.1,12.03,17.91,-67.5
FL015,11:57:10,-3863.3,-4475.3,3056.0,27.34,42.12,-28.76
FL016,12:00:08,-3619.0,266.9,7480.7,150.09,-2.98,-83.46
FL017,12:00:43,5422.9,3239.9,6938.1,76.03,-35.46,-75.94
FL018,12:03:11,9530.6,-3410.1,3717.5,-46.15,39.81,-43.4
FL019,12:01:53,9290.1,1474.7,6131.5,-71.87,-23.97,-99.66
FL020,12:01:25,6717.0,-4975.8,6159.1,39.35,74.85,-92.65
FL021,11:58:11,3408.8,-5379.8,1273.4,-105.62,86.93,-20.58
FL022,11:59:36,-9980.6,376.3,7269.1,146.52,-3.83,-74.04
FL023,11:57:40,-8120.9,487.6,4289.4,94.36,-6.18,-54.39
FL024,12:02:39,9565.3,1649.2,6698.4,-37.53,-18.22,-74.0
FL025,12:00:13,2554.3,2713.1,2900.4,-137.05,-23.7,-25.34
FL026,11:55:21,-11779.3,5710.2,7216.4,108.31,-76.18,-96.27
FL027,11:59:12,-9564.7,195.6,3419.0,-9.16,-2.31,-40.4
FL028,12:04:20,3924.0,-2124.5,581.3,99.03,20.17,-5.52
FL029,12:02:54,-11878.5,3542.2,7290.4,-127.55,-48.04,-98.88
FL030,11:55:58,-8140.6,-2750.0,1184.7,-47.95,42.56,-18.33
FL031,12:03:30,1169.6,-732.3,2894.9,0.42,9.46,-37.41
FL032,12:02:55,4605.5,-5058.5,7625.5,3.76,72.6,-109.45
FL033,11:58:09,3647.1,-5695.8,7629.6,-36.01,49.19,-65.9
FL034,12:04:22,-6617.5,5551.8,4800.8,49.83,-51.17,-44.25
FL035,12:04:26,5092.3,4031.8,5238.8,-85.41,-41.14,-53.45
FL036,11:59:03,-6306.0,2351.7,3863.3,-11.39,-20.94,-34.41
FL037,12:03:24,-4190.4,-1092.6,2699.1,9.62,10.1,-24.94
FL038,11:57:10,5915.8,-3920.5,2965.0,41.16,55.07,-42.89
FL039,12:03:04,3591.2,-4122.8,5543.9,56.93,36.31,-48.82
FL040,11:55:20,8381.4,-2997.1,6142.8,-89.97,32.45,-66.51
FL041,11:57:46,3782.7,590.7,6436.8,-122.73,-5.45,-59.36
FL042,11:59:33,1639.4,2575.2,6422.1,102.21,-22.64,-56.45
FL043,12:01:27,-9751.8,1922.4,1184.0,26.59,-24.31,-14.97
FL044,12:00:15,-3174.8,-2640.8,4208.2,-59.88,39.65,-63.18
FL045,11:55:13,-5635.1,5458.4,931.7,124.09,-74.09,-12.65
FL046,11:59:01,-6144.2,2854.8,4621.5,9.25,-33.34,-53.97
FL047,12:00:45,11352.3,652.2,3811.5,94.34,-5.98,-34.94
FL048,12:04:24,-2565.7,1340.6,7157.8,5.4,-12.01,-64.11
FL049,12:00:39,9409.1,-964.8,3131.9,164.86,15.97,-51.84
FL050,11:56:31,3147.3,-3027.2,1378.0,140.43,33.4,-15.2
FL051,12:01:06,7075.5,-1728.3,1572.4,-19.92,20.32,-18.49
FL052,12:02:34,63.3,3094.2,6211.3,77.73,-42.2,-96.29
FL053,12:02:07,1845.7,-5827.3,5136.6,51.63,86.73,-76.45
FL054,12:03:28,-179.6,-4607.1,1258.4,109.49,57.4,-15.68
FL055,11:55:34,-7314.2,-5448.0,1130.8,-77.19,46.73,-8.3
FL056,11:58:25,5338.9,-5511.3,5757.3,54.88,69.42,-72.52
FL057,11:56:20,-5261.5,4265.5,1045.7,84.67,-46.81,-11.48
FL058,12:04:21,-11416.4,2443.9,6664.0,-140.7,-23.92,-65.22
FL059,12:01:27,3491.3,-309.9,5796.8,-94.66,3.79,-70.85
FL060,11:55:01,-7749.3,-4826.0,1110.1,-163.14,40.79,-9.38
FL061,12:01:29,10571.0,-100.6,1136.3,-21.55,0.85,-10.79
FL062,12:04:25,10894.3,-318.3,7899.8,57.4,4.24,-105.18
FL063,11:56:45,9956.7,-3921.6,3307.0,120.19,43.65,-36.81
FL064,12:02:56,-3116.2,-793.8,3279.8,5.93,10.17,-42.02
FL065,12:01:41,-11629.0,-1217.9,6596.0,130.29,15.8,-85.56
FL066,12:04:15,10279.6,1390.2,7604.4,-110.41,-22.35,-122.23
FL067,11:57:41,-1723.6,1621.1,7895.0,-136.27,-16.79,-81.75
FL068,11:58:21,11199.7,-5456.4,6150.3,-4.44,60.52,-68.22
FL069,11:59:29,11126.9,-1504.6,3321.9,30.73,23.85,-52.66
FL070,11:59:30,8472.2,1510.3,1126.3,-2.62,-19.69,-14.68
FL071,12:02:35,-4933.2,37.6,6328.6,-165.4,-0.33,-55.27
FL072,12:02:41,-2757.7,4277.9,4688.0,-7.13,-57.52,-63.03
FL073,11:59:11,8427.3,1904.3,3681.7,-104.36,-27.72,-53.6
FL074,11:59:55,-4393.9,-4044.8,7297.7,53.57,45.26,-81.66
FL075,12:00:37,-7932.2,-5153.2,1334.0,29.33,43.25,-11.2
FL076,11:55:52,1363.2,1709.0,4194.7,-75.19,-22.93,-56.29
FL077,11:58:36,10467.7,-5681.9,585.2,-41.11,56.63,-5.83
FL078,11:58:07,4704.7,1029.3,4015.0,-84.74,-9.74,-37.99
FL079,12:01:19,1681.5,5282.8,922.3,-5.01,-71.14,-12.42
FL080,12:03:12,-9667.8,905.7,1391.1,76.41,-8.73,-13.42
FL081,11:55:40,2760.2,-1342.0,1381.4,-78.86,16.35,-16.83
FL082,11:57:36,11761.3,1719.5,5369.1,40.32,-17.56,-48.28
FL083,11:55:14,-8638.0,-501.0,6095.3,-42.42,5.11,-62.19
FL084,11:56:04,439.9,547.4,4875.3,-63.43,-5.94,-52.91
FL085,12:03:40,9057.0,5297.6,7716.3,-8.56,-80.98,-117.95
FL086,12:00:43,5778.4,-1366.8,3311.5,-82.82,12.41,-30.07
FL087,11:57:08,4728.4,5534.3,2642.8,-44.29,-69.84,-33.35
FL088,12:02:51,4859.6,4864.2,7014.5,-95.83,-68.33,-98.53
FL089,11:56:02,-3372.2,-3650.5,2177.0,157.18,58.46,-34.86
FL090,11:57:18,-4953.8,-5167.7,7724.2,2.82,54.14,-80.92
FL091,12:03:18,7424.7,-4790.7,591.2,-55.98,47.6,-5.87
FL092,12:04:52,7442.7,-5781.3,7774.1,17.12,94.78,-110.31
FL093,12:01:31,8809.7,-4866.7,823.7,-8.99,53.64,-9.08
FL094,12:01:58,9917.8,2196.1,7183.6,-17.68,-29.84,-84.51
FL095,11:59:48,272.2,-5145.7,4457.8,49.13,52.13,-45.16
FL096,12:01:18,36.4,-2172.3,7947.2,60.6,30.83,-112.79
FL097,12:03:09,7159.1,4138.5,1053.5,-42.44,-40.79,-11.69
FL098,11:58:50,3599.1,-5720.7,4653.9,-46.07,68.76,-55.93
FL099,11:55:40,4847.2,3773.6,7769.8,-22.0,-32.47,-66.86
FL100,11:55:27,7099.0,-2617.7,4423.2,-184.15,38.35,-64.81
