flight_number,time_GMT,t_rel_s,x_m,y_m,z_m,vx_mps,vy_mps,vz_mps
FL001,12:02:45,165,8468,533,2394,-66.0,-3.3,-1.4
FL002,12:04:58,298,10313,-361,1976,-65.7,3.3,-2.7
FL003,12:02:03,123,11028,69,707,-66.2,-3.3,-4.8
FL004,12:04:58,298,11455,399,1105,-72.9,-3.6,-1.2
FL005,12:01:08,68,-8867,-505,1463,75.8,3.8,-3.2
FL006,12:01:32,92,11528,369,1725,-77.8,-3.9,-1.4
FL007,12:00:32,32,12141,-379,2377,-74.9,3.7,-2.7
FL008,12:02:40,160,-11593,128,1217,72.2,-3.6,-4.2
FL009,12:02:04,124,11411,-186,1606,-75.5,3.8,-3.9
FL010,12:02:27,147,3934,248,1601,-73.4,-3.7,-1.6
FL011,12:04:10,250,-2642,568,2485,66.6,-3.3,-3.3
FL012,12:01:25,85,10136,187,1404,-69.4,-3.5,-2.8
FL013,12:02:53,173,11678,-471,1555,-74.7,3.7,-4.7
FL014,12:00:02,2,4811,-799,1823,-72.3,3.6,-1.4
FL015,12:00:30,30,8461,-458,1480,-72.8,3.6,-2.7
FL016,12:02:32,152,6404,30,536,-74.5,-3.7,-1.8
FL017,12:03:42,222,5552,543,635,-71.7,-3.6,-2.5
FL018,12:00:05,5,-12046,-689,1702,80.9,4.0,-3.1
FL019,12:03:27,207,-4310,327,2228,71.7,-3.6,-2.1
FL020,12:03:40,220,-11543,-459,870,71.2,3.6,-3.4
FL021,12:04:26,266,-10408,155,1807,75.9,-3.8,-3.3
FL022,12:04:44,284,8341,-738,1634,-65.6,3.3,-3.2
FL023,12:03:03,183,9910,-352,1157,-69.4,3.5,-1.9
FL024,12:02:18,138,4683,164,642,-66.7,-3.3,-3.8
FL025,12:01:19,79,11212,-764,1732,-77.5,3.9,-3.5
FL026,12:01:58,118,4985,-433,1391,-74.2,3.7,-3.9
FL027,12:01:17,77,10690,-219,886,-74.0,3.7,-1.9
FL028,12:03:46,226,-3682,487,1639,66.9,-3.3,-2.1
FL029,12:04:47,287,-7447,531,1453,68.6,-3.4,-4.2
FL030,12:00:52,52,-10791,-722,1467,70.4,3.5,-3.7
FL031,12:03:02,182,-2308,85,2233,66.4,-3.3,-3.5
FL032,12:01:37,97,3922,167,1568,-66.6,-3.3,-4.0
FL033,12:03:58,238,4203,80,1762,-70.3,-3.5,-4.5
FL034,12:03:21,201,11475,-782,1699,-79.8,4.0,-3.1
FL035,12:00:38,38,6095,143,1783,-75.2,-3.8,-3.0
FL036,12:02:49,169,-9322,-191,1735,71.6,3.6,-2.2
FL037,12:03:02,182,-10635,266,1594,77.0,-3.9,-1.1
FL038,12:02:47,167,3561,284,1363,-71.9,-3.6,-2.5
FL039,12:04:22,262,-8897,426,1603,77.5,-3.9,-2.6
FL040,12:04:39,279,-5319,159,1895,71.8,-3.6,-3.0
FL041,12:00:47,47,8816,482,1693,-77.7,-3.9,-4.5
FL042,12:02:44,164,5299,235,1736,-68.3,-3.4,-3.9
FL043,12:02:37,157,8170,-772,842,-76.9,3.9,-3.5
FL044,12:02:03,123,-11872,-768,1644,76.7,3.8,-1.1
FL045,12:02:38,158,4259,178,1709,-71.1,-3.5,-2.5
FL046,12:04:14,254,-8285,-451,1120,75.0,3.8,-1.5
FL047,12:03:34,214,-8403,80,1017,69.2,3.5,-3.4
FL048,12:01:09,69,-11993,-788,1629,80.4,4.0,-2.5
FL049,12:00:24,24,-3315,410,1609,66.1,-3.3,-4.7
FL050,12:00:09,9,-10874,104,2235,79.5,-4.0,-4.1
FL051,12:01:52,112,1593.3,995.1,1648,61.9,38.6,4.3
FL052,12:01:56,116,-3368.1,-2470.6,2936,-54.1,-39.7,3.9
FL053,12:04:21,261,-4383.2,744.5,2914,-70.2,11.9,3.1
FL054,12:01:36,96,-3922.7,-1202.2,2475,-63.7,-19.5,4.3
FL055,12:03:09,189,-1162.4,-2431.7,3382,-23.4,-49.0,4.6
FL056,12:01:54,114,1496.1,1470.9,2266,25.8,25.4,3.3
FL057,12:04:07,247,1096.4,-2298.5,1512,18.4,-38.5,3.5
FL058,12:02:52,172,5353.6,-2674.9,3338,77.8,-37.8,5.9
FL059,12:01:01,61,1226.3,-4217.9,1764,18.9,-61.7,4.8
FL060,12:03:01,181,3104.3,542.8,1371,49.9,8.7,5.3
FL061,12:02:26,146,458.7,4214.0,2546,7.7,71.0,4.4
FL062,12:03:11,191,4724.9,2026.7,2834,73.4,31.5,3.7
FL063,12:04:38,278,521.1,-3295.5,3459,9.3,-56.9,5.7
FL064,12:01:43,103,-3199.3,1784.0,1667,-52.8,29.4,3.0
FL065,12:00:41,41,2506.8,327.2,2798,40.7,5.3,4.5
FL066,12:01:27,87,-4514.0,-4295.7,1403,-68.7,-65.4,5.8
FL067,12:00:29,29,1015.5,-494.2,3060,17.3,-8.5,5.4
FL068,12:03:22,202,2908.6,4573.5,2130,46.2,72.6,3.6
FL069,12:01:47,107,-2894.3,881.4,3454,-46.7,14.2,5.0
FL070,12:03:32,212,2051.6,-2300.0,3444,35.0,-39.2,5.4
FL071,12:02:33,153,-4956.5,-3495.1,3116,-75.8,-53.4,0.1
FL072,12:02:50,170,5818.9,1571.7,4782,87.3,23.6,-0.3
FL073,12:02:11,131,2485.5,-5160.6,3927,36.7,-76.2,-0.3
FL074,12:00:48,48,-4051.0,2886.3,3146,-63.0,44.9,-0.5
FL075,12:00:52,52,446.1,-2547.6,5284,7.1,-40.8,0.0
FL076,12:04:16,256,-1900.2,-2846.2,5753,-29.8,-44.7,0.1
FL077,12:04:15,255,4984.5,-3785.5,5073,79.8,-60.5,0.9
FL078,12:03:52,232,2848.5,-4546.5,4857,45.5,-73.0,0.5
FL079,12:00:02,2,-4213.3,3464.1,5506,-65.7,54.0,-0.9
FL080,12:04:36,276,5411.8,-2328.0,3279,86.1,-37.0,0.2
FL081,12:03:21,201,-1047.7,2391.6,3283,-16.9,37.4,0.7
FL082,12:01:55,115,-5021.7,-5369.6,3781,-80.0,-85.6,0.5
FL083,12:02:24,144,-387.0,1127.1,4517,-6.2,18.5,0.0
FL084,12:04:00,240,2967.8,4530.9,3990,47.2,72.0,-0.3
FL085,12:01:57,117,1642.6,-5305.8,6076,26.3,-84.9,-0.8
FL086,12:03:22,202,4616.3,1932.6,5160,73.6,30.8,0.7
FL087,12:04:57,297,-5137.1,5720.9,6385,-80.8,90.0,-0.1
FL088,12:02:25,145,5612.0,-3045.3,3176,88.0,-47.7,0.1
FL089,12:02:13,133,-6185.6,-3516.7,7204,-96.0,-54.5,0.8
FL090,12:02:46,166,2229.8,5460.4,3175,35.3,86.4,-0.3
FL091,12:03:50,230,-3053,3914,4152,-128.5,196.8,-0.8
FL092,12:02:49,169,1702.4,-3364.8,2131,34.7,-68.5,5.6
FL093,12:00:06,6,-3852,-1902,3532,-244.1,-89.5,0.2
FL094,12:03:04,184,4380,-3492,3395,139.4,-172.9,0.3
FL095,12:01:16,76,-4497.5,827.6,2592,-78.4,14.4,4.9
FL096,12:03:39,219,-2341.1,5706.4,2138,-33.7,82.1,5.7
FL097,12:04:41,281,267.0,1379.4,3499,15.4,79.7,4.1
FL098,12:01:10,70,-45,-7198,7506,-88.4,-221.9,-0.3
